"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 02:22:22 GMT 2024","Mon Jun 10 02:22:22 GMT 2024","64","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 10 02:22:21 GMT 2024","Mon Jun 10 02:22:22 GMT 2024","86","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jun 10 02:22:22 GMT 2024","Mon Jun 10 02:22:22 GMT 2024","71","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 10 02:22:22 GMT 2024","Mon Jun 10 02:22:22 GMT 2024","54","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 10 02:22:21 GMT 2024","Mon Jun 10 02:22:21 GMT 2024","113","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jun 10 02:22:20 GMT 2024","Mon Jun 10 02:22:21 GMT 2024","1106","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jun 10 02:22:22 GMT 2024","Mon Jun 10 02:22:22 GMT 2024","73","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 10 02:22:21 GMT 2024","Mon Jun 10 02:22:21 GMT 2024","86","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jun 10 02:22:21 GMT 2024","Mon Jun 10 02:22:21 GMT 2024","75","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jun 10 02:22:22 GMT 2024","Mon Jun 10 02:22:22 GMT 2024","72","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 10 02:22:22 GMT 2024","Mon Jun 10 02:22:22 GMT 2024","72","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 10 02:22:22 GMT 2024","Mon Jun 10 02:22:22 GMT 2024","383","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 10 02:22:21 GMT 2024","Mon Jun 10 02:22:21 GMT 2024","90","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
