"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 25 02:05:38 GMT 2024","Mon Mar 25 02:05:38 GMT 2024","84","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 25 02:05:37 GMT 2024","Mon Mar 25 02:05:37 GMT 2024","70","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 25 02:05:37 GMT 2024","Mon Mar 25 02:05:37 GMT 2024","77","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 25 02:05:37 GMT 2024","Mon Mar 25 02:05:38 GMT 2024","420","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Mar 25 02:05:37 GMT 2024","Mon Mar 25 02:05:37 GMT 2024","196","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Mar 25 02:05:37 GMT 2024","Mon Mar 25 02:05:37 GMT 2024","96","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Mon Mar 25 02:05:36 GMT 2024","Mon Mar 25 02:05:37 GMT 2024","137","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Mar 25 02:05:37 GMT 2024","Mon Mar 25 02:05:37 GMT 2024","215","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Mar 25 02:05:36 GMT 2024","Mon Mar 25 02:05:36 GMT 2024","114","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Mar 25 02:05:38 GMT 2024","Mon Mar 25 02:05:38 GMT 2024","97","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 25 02:05:37 GMT 2024","Mon Mar 25 02:05:37 GMT 2024","85","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Mar 25 02:05:38 GMT 2024","Mon Mar 25 02:05:38 GMT 2024","90","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 25 02:05:35 GMT 2024","Mon Mar 25 02:05:36 GMT 2024","1099","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Mar 25 02:05:37 GMT 2024","Mon Mar 25 02:05:37 GMT 2024","149","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Mar 25 02:05:36 GMT 2024","Mon Mar 25 02:05:36 GMT 2024","128","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
