"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 02:09:37 GMT 2023","Mon Dec 25 02:09:37 GMT 2023","76","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Dec 25 02:09:36 GMT 2023","Mon Dec 25 02:09:36 GMT 2023","61","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Dec 25 02:09:37 GMT 2023","Mon Dec 25 02:09:37 GMT 2023","85","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Dec 25 02:09:35 GMT 2023","Mon Dec 25 02:09:35 GMT 2023","100","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Mon Dec 25 02:09:37 GMT 2023","Mon Dec 25 02:09:37 GMT 2023","73","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Dec 25 02:09:34 GMT 2023","Mon Dec 25 02:09:35 GMT 2023","992","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Dec 25 02:09:36 GMT 2023","Mon Dec 25 02:09:37 GMT 2023","392","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Dec 25 02:09:35 GMT 2023","Mon Dec 25 02:09:35 GMT 2023","168","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Dec 25 02:09:35 GMT 2023","Mon Dec 25 02:09:36 GMT 2023","187","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Dec 25 02:09:36 GMT 2023","Mon Dec 25 02:09:36 GMT 2023","102","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Dec 25 02:09:36 GMT 2023","Mon Dec 25 02:09:36 GMT 2023","45","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Dec 25 02:09:36 GMT 2023","Mon Dec 25 02:09:36 GMT 2023","60","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Dec 25 02:09:35 GMT 2023","Mon Dec 25 02:09:35 GMT 2023","87","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Mon Dec 25 02:09:35 GMT 2023","Mon Dec 25 02:09:35 GMT 2023","126","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Dec 25 02:09:36 GMT 2023","Mon Dec 25 02:09:36 GMT 2023","143","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
