"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 02:27:29 GMT 2024","Mon Jun 17 02:27:29 GMT 2024","83","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jun 17 02:27:29 GMT 2024","Mon Jun 17 02:27:30 GMT 2024","378","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 17 02:27:29 GMT 2024","Mon Jun 17 02:27:29 GMT 2024","79","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 17 02:27:27 GMT 2024","Mon Jun 17 02:27:28 GMT 2024","1062","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jun 17 02:27:30 GMT 2024","Mon Jun 17 02:27:30 GMT 2024","90","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 17 02:27:30 GMT 2024","Mon Jun 17 02:27:30 GMT 2024","68","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 17 02:27:29 GMT 2024","Mon Jun 17 02:27:29 GMT 2024","98","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jun 17 02:27:29 GMT 2024","Mon Jun 17 02:27:29 GMT 2024","126","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jun 17 02:27:29 GMT 2024","Mon Jun 17 02:27:29 GMT 2024","60","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 17 02:27:29 GMT 2024","Mon Jun 17 02:27:29 GMT 2024","55","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jun 17 02:27:28 GMT 2024","Mon Jun 17 02:27:29 GMT 2024","110","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jun 17 02:27:29 GMT 2024","Mon Jun 17 02:27:29 GMT 2024","107","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jun 17 02:27:30 GMT 2024","Mon Jun 17 02:27:30 GMT 2024","64","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
